date (local),month,season,hy,dy,hd,dw,coal,hydro,gas,nuclear,petroleum,wind,other,solar,I_f,
7/1/2018,7,s,1,1,1.00,1,2265,32,15985,3786,0,,949,0,525.5221855,
7/1/2018,7,s,2,1,2.00,1,2105,31,14799,3785,0,,902,0,532.6747583,
7/1/2018,7,s,3,1,3.00,1,1960,32,13900,3789,0,,906,0,533.9093373,
7/1/2018,7,s,4,1,4.00,1,1867,31,13336,3782,0,,890,0,538.3275721,
7/1/2018,7,s,5,1,5.00,1,1994,32,12939,3786,0,,914,0,549.5213425,
7/1/2018,7,s,6,1,6.00,1,2025,31,12931,3784,0,,918,0,551.5200808,
7/1/2018,7,s,7,1,7.00,1,1978,32,13135,3789,0,,935,5.904,544.5738249,
7/1/2018,7,s,8,1,8.00,1,1984,31,14461,3787,0,,1115,66.42,528.201412,
7/1/2018,7,s,9,1,9.00,1,2341,32,17305,3784,0,,1236,352.764,526.6111291,
7/1/2018,7,s,10,1,10.00,1,2944,31,19778,3785,0,,1453,699.624,527.1466322,
7/1/2018,7,s,11,1,11.00,1,3488,32,22074,3788,0,,1560,887.076,521.3392594,
7/1/2018,7,s,12,1,12.00,1,3848,31,23719,3785,0,,1681,954.972,500.1280581,
7/1/2018,7,s,13,1,13.00,1,4077,31,25188,3783,0,,1669,1022.868,509.0390357,
7/1/2018,7,s,14,1,14.00,1,4021,31,26296,3782,0,,1659,1050.912,508.9286734,
7/1/2018,7,s,15,1,15.00,1,4101,32,27134,3778,0,,1650,1053.864,508.889485,
7/1/2018,7,s,16,1,16.00,1,4165,31,28590,3776,0,,1624,1033.2,509.020462,
7/1/2018,7,s,17,1,17.00,1,4335,31,29118,3769,111,,1655,919.548,508.1289709,
7/1/2018,7,s,18,1,18.00,1,4247,36,29276,3768,50,,1629,503.316,507.2769607,
7/1/2018,7,s,19,1,19.00,1,4200,30,28277,3765,7,,1544,295.2,505.0640859,
7/1/2018,7,s,20,1,20.00,1,4085,29,26010,3770,0,,1479,79.704,507.0414111,
7/1/2018,7,s,21,1,21.00,1,3917,28,24281,3768,0,,1542,5.904,508.0217214,
7/1/2018,7,s,22,1,22.00,1,3947,32,23823,3767,0,,1428,0,506.8790671,
7/1/2018,7,s,23,1,23.00,1,3603,31,21926,3773,0,,1220,0,512.2617664,
7/1/2018,7,s,24,1,24.00,1,3284,31,20277,3779,0,,1028,0,512.2175781,
7/2/2018,7,s,25,2,1.00,2,2749,31,18166,3778,0,,1051,0,514.4804129,
7/2/2018,7,s,26,2,2.00,2,2427,31,16553,3785,0,,1017,0,518.9987483,
7/2/2018,7,s,27,2,3.00,2,2264,31,15327,3778,0,,1001,0,524.0017572,
7/2/2018,7,s,28,2,4.00,2,2216,30,14561,3784,0,,999,0,527.7194738,
7/2/2018,7,s,29,2,5.00,2,2213,31,14400,3782,0,,1014,0,527.6372364,
7/2/2018,7,s,30,2,6.00,2,2260,31,15084,3783,0,,1053,0,521.1270811,
7/2/2018,7,s,31,2,7.00,2,2351,31,16068,3782,0,,1099,5.904,517.9932169,
7/2/2018,7,s,32,2,8.00,2,2491,30,17713,3781,0,,1388,107.748,511.230611,
7/2/2018,7,s,33,2,9.00,2,2936,31,19922,3783,0,,1477,351.288,508.1131767,
7/2/2018,7,s,34,2,10.00,2,3429,31,22855,3782,0,,1585,717.336,505.5115636,
7/2/2018,7,s,35,2,11.00,2,3960,32,24862,3777,0,,1630,1009.584,502.233727,
7/2/2018,7,s,36,2,12.00,2,4369,33,27138,3775,0,,1678,1205.892,503.3324501,
7/2/2018,7,s,37,2,13.00,2,4402,32,29402,3774,0,,1680,1275.264,501.096039,
7/2/2018,7,s,38,2,14.00,2,4400,32,30693,3772,124,,1675,1236.888,502.8742979,
7/2/2018,7,s,39,2,15.00,2,4417,32,31547,3770,185,,1702,1225.08,504.4226845,
7/2/2018,7,s,40,2,16.00,2,4426,32,31786,3755,302,,1732,1253.124,504.0926442,
7/2/2018,7,s,41,2,17.00,2,4436,32,31723,3762,302,,1720,1053.864,504.3863341,
7/2/2018,7,s,42,2,18.00,2,4450,37,31141,3758,242,,1727,819.18,504.4352219,
7/2/2018,7,s,43,2,19.00,2,4434,31,29727,3756,72,,1685,369,501.8850698,
7/2/2018,7,s,44,2,20.00,2,4263,32,28782,3755,0,,1650,107.748,501.4095511,
7/2/2018,7,s,45,2,21.00,2,4163,32,27331,3751,0,,1563,33.948,501.3830265,
7/2/2018,7,s,46,2,22.00,2,4053,31,25948,3759,0,,1566,0,504.3446462,
7/2/2018,7,s,47,2,23.00,2,3827,32,23161,3767,0,,1537,0,504.7272424,
7/2/2018,7,s,48,2,24.00,2,2918,33,18816,3770,0,,728,0,509.816789,
7/3/2018,7,s,49,3,1.00,3,2937,32,18780,3772,0,,1279,0,511.3369582,
7/3/2018,7,s,50,3,2.00,3,2542,33,17262,3778,0,,1080,0,515.5126289,
7/3/2018,7,s,51,3,3.00,3,2398,32,16066,3777,0,,1024,0,521.6896978,
7/3/2018,7,s,52,3,4.00,3,2326,33,15234,3782,0,,1030,0,523.6976821,
7/3/2018,7,s,53,3,5.00,3,2329,32,14989,3772,0,,1021,0,519.3252584,
7/3/2018,7,s,54,3,6.00,3,2329,34,15562,3773,0,,1060,32.472,516.0000759,
7/3/2018,7,s,55,3,7.00,3,2496,35,16721,3772,0,,1133,35.424,522.1520753,
7/3/2018,7,s,56,3,8.00,3,2887,36,17655,3776,0,,1204,90.036,517.2926622,
7/3/2018,7,s,57,3,9.00,3,3386,36,19249,3771,0,,1451,343.908,515.9471274,
7/3/2018,7,s,58,3,10.00,3,3805,36,21323,3772,0,,1506,668.628,514.782051,
7/3/2018,7,s,59,3,11.00,3,4014,36,24393,3761,0,,1537,907.74,501.8963087,
7/3/2018,7,s,60,3,12.00,3,4244,36,26980,3766,0,,1616,1099.62,494.8362703,
7/3/2018,7,s,61,3,13.00,3,4312,38,28918,3766,0,,1645,1157.184,495.4724256,
7/3/2018,7,s,62,3,14.00,3,4418,37,29754,3767,89,,1640,1140.948,496.7135437,
7/3/2018,7,s,63,3,15.00,3,4463,38,30171,3761,83,,1619,1127.664,493.6406482,
7/3/2018,7,s,64,3,16.00,3,4373,37,30278,3761,65,,1614,839.844,494.1463473,
7/3/2018,7,s,65,3,17.00,3,4275,37,29732,3760,26,,1580,605.16,492.9983497,
7/3/2018,7,s,66,3,18.00,3,4181,41,28334,3763,0,,1493,488.556,492.7841557,
7/3/2018,7,s,67,3,19.00,3,4060,37,27194,3762,0,,1472,284.868,496.5736371,
7/3/2018,7,s,68,3,20.00,3,3966,37,25555,3757,0,,1476,66.42,496.9659537,
7/3/2018,7,s,69,3,21.00,3,4028,37,24240,3759,0,,1493,39.852,498.3903042,
7/3/2018,7,s,70,3,22.00,3,4036,37,23000,3761,0,,1521,13.284,497.0306865,
7/3/2018,7,s,71,3,23.00,3,3831,38,20934,3761,0,,1498,13.284,503.6101004,
7/3/2018,7,s,72,3,24.00,3,3517,37,19315,3767,0,,1444,13.284,508.4883116,
7/4/2018,7,s,73,4,1.00,4,3029,38,17508,3759,0,,1315,13.284,517.2742288,
7/4/2018,7,s,74,4,2.00,4,2765,37,16109,3758,0,,1109,13.284,524.0825276,
7/4/2018,7,s,75,4,3.00,4,2559,38,14859,3760,0,,1072,13.284,528.449045,
7/4/2018,7,s,76,4,4.00,4,2470,37,14053,3766,0,,1066,13.284,536.3266236,
7/4/2018,7,s,77,4,5.00,4,2442,38,13594,3765,0,,1023,13.284,535.2205557,
7/4/2018,7,s,78,4,6.00,4,2363,37,13711,3767,0,,1049,0,537.4505048,
7/4/2018,7,s,79,4,7.00,4,2362,37,13964,3770,0,,1057,1.476,537.742798,
7/4/2018,7,s,80,4,8.00,4,2345,37,14569,3772,0,,1126,70.848,519.320763,
7/4/2018,7,s,81,4,9.00,4,2546,37,16730,3767,0,,1349,327.672,520.8833913,
7/4/2018,7,s,82,4,10.00,4,3109,38,19387,3767,0,,1478,687.816,512.0377888,
7/4/2018,7,s,83,4,11.00,4,3653,37,22045,3769,0,,1530,910.692,504.19348,
7/4/2018,7,s,84,4,12.00,4,4063,37,24723,3774,0,,1528,881.172,502.2081246,
7/4/2018,7,s,85,4,13.00,4,4286,38,26102,3770,0,,1506,1120.284,504.9659991,
7/4/2018,7,s,86,4,14.00,4,4443,37,27098,3767,0,,1523,1078.956,505.1711115,
7/4/2018,7,s,87,4,15.00,4,4194,38,26996,3767,0,,1519,612.54,507.6003267,
7/4/2018,7,s,88,4,16.00,4,3978,37,25488,3764,25,,1515,647.964,501.6725869,
7/4/2018,7,s,89,4,17.00,4,3938,38,24638,3762,0,,1459,526.932,503.9462214,
7/4/2018,7,s,90,4,18.00,4,3812,40,23701,3768,0,,1439,370.476,508.3074687,
7/4/2018,7,s,91,4,19.00,4,3802,37,22484,3763,0,,1448,194.832,511.0309547,
7/4/2018,7,s,92,4,20.00,4,3701,37,21260,3767,0,,1465,78.228,505.5208432,
7/4/2018,7,s,93,4,21.00,4,3534,37,20368,3766,0,,1437,32.472,510.6140831,
7/4/2018,7,s,94,4,22.00,4,3310,35,19340,3765,0,,1477,13.284,508.7327903,
7/4/2018,7,s,95,4,23.00,4,3152,34,18472,3768,0,,1393,13.284,511.977065,
7/4/2018,7,s,96,4,24.00,4,2233,35,15770,3771,0,,702,13.284,516.7670325,
7/5/2018,7,s,97,5,1.00,5,2414,35,15611,3771,0,,1185,0,537.0248413,
7/5/2018,7,s,98,5,2.00,5,2290,36,14247,3771,0,,997,13.284,546.502301,
7/5/2018,7,s,99,5,3.00,5,2162,35,13418,3774,0,,999,13.284,553.4841014,
7/5/2018,7,s,100,5,4.00,5,2150,36,12874,3774,0,,986,13.284,553.7733849,
7/5/2018,7,s,101,5,5.00,5,2126,36,12776,3772,0,,977,0,546.9167871,
7/5/2018,7,s,102,5,6.00,5,2131,36,13424,3767,0,,1000,32.472,539.8119441,
7/5/2018,7,s,103,5,7.00,5,2257,36,14689,3766,0,,1021,33.948,541.3504544,
7/5/2018,7,s,104,5,8.00,5,2426,36,15799,3767,0,,1078,98.892,524.9665948,
7/5/2018,7,s,105,5,9.00,5,2775,37,17790,3762,0,,1332,318.816,512.1479825,
7/5/2018,7,s,106,5,10.00,5,3179,36,20260,3759,6,,1446,662.724,508.6222276,
7/5/2018,7,s,107,5,11.00,5,3508,37,22789,3759,3,,1497,993.348,507.4058322,
7/5/2018,7,s,108,5,12.00,5,3710,38,25269,3761,0,,1530,1078.956,501.4583144,
7/5/2018,7,s,109,5,13.00,5,3908,38,27099,3752,0,,1514,1087.812,499.825597,
7/5/2018,7,s,110,5,14.00,5,4125,38,28065,3755,0,,1522,991.872,503.5979419,
7/5/2018,7,s,111,5,15.00,5,4336,37,28484,3756,0,,1527,881.172,507.964226,
7/5/2018,7,s,112,5,16.00,5,4451,38,28452,3760,0,,1523,702.576,510.9921561,
7/5/2018,7,s,113,5,17.00,5,4460,38,27795,3762,0,,1507,643.536,513.5100883,
7/5/2018,7,s,114,5,18.00,5,4301,39,26989,3763,0,,1468,454.608,509.5192408,
7/5/2018,7,s,115,5,19.00,5,4033,38,25782,3765,0,,1485,178.596,508.793634,
7/5/2018,7,s,116,5,20.00,5,3818,37,24421,3765,0,,1495,48.708,505.8170534,
7/5/2018,7,s,117,5,21.00,5,3980,37,23346,3765,0,,1501,32.472,504.63357,
7/5/2018,7,s,118,5,22.00,5,3853,38,22623,3770,0,,1463,11.808,504.4869048,
7/5/2018,7,s,119,5,23.00,5,3433,37,20716,3766,0,,1382,13.284,505.4782839,
7/5/2018,7,s,120,5,24.00,5,2920,37,18758,3772,0,,1305,13.284,510.6796877,
7/6/2018,7,s,121,6,1.00,6,2477,38,16893,3770,0,,1215,13.284,518.7160774,
7/6/2018,7,s,122,6,2.00,6,2280,37,15489,3771,0,,1020,13.284,523.4794074,
7/6/2018,7,s,123,6,3.00,6,1925,38,14515,3774,0,,1100,13.284,534.6014736,
7/6/2018,7,s,124,6,4.00,6,1964,37,13775,3779,0,,1046,13.284,540.8960341,
7/6/2018,7,s,125,6,5.00,6,2046,37,13553,3773,0,,1023,13.284,539.2498933,
7/6/2018,7,s,126,6,6.00,6,2055,37,14190,3774,0,,1064,32.472,532.4437179,
7/6/2018,7,s,127,6,7.00,6,2141,35,15348,3778,0,,1090,0,525.1658133,
7/6/2018,7,s,128,6,8.00,6,2237,36,16349,3776,0,,1147,63.468,519.3125787,
7/6/2018,7,s,129,6,9.00,6,2545,36,17974,3774,0,,1241,231.732,512.2989356,
7/6/2018,7,s,130,6,10.00,6,2924,35,19659,3783,0,,1437,540.216,511.7306649,
7/6/2018,7,s,131,6,11.00,6,3511,36,21477,3773,0,,1510,782.28,505.35191,
7/6/2018,7,s,132,6,12.00,6,3707,36,23591,3774,0,,1606,952.02,500.726751,
7/6/2018,7,s,133,6,13.00,6,3949,33,25891,3772,0,,1620,910.692,499.8216315,
7/6/2018,7,s,134,6,14.00,6,4057,31,27146,3771,40,,1630,975.636,501.9907381,
7/6/2018,7,s,135,6,15.00,6,4097,32,27797,3767,1,,1625,1053.864,503.8506625,
7/6/2018,7,s,136,6,16.00,6,4139,31,28041,3766,0,,1626,720.288,503.5869589,
7/6/2018,7,s,137,6,17.00,6,4254,33,27428,3772,0,,1589,534.312,503.6133222,
7/6/2018,7,s,138,6,18.00,6,4295,38,26601,3766,0,,1535,429.516,502.3279052,
7/6/2018,7,s,139,6,19.00,6,4212,31,25195,3767,0,,1530,283.392,501.7618263,
7/6/2018,7,s,140,6,20.00,6,4117,31,23733,3767,0,,1510,125.46,498.7657655,
7/6/2018,7,s,141,6,21.00,6,3899,31,22681,3770,0,,1588,17.712,498.7063311,
7/6/2018,7,s,142,6,22.00,6,3701,32,21564,3774,0,,1470,14.76,503.4099108,
7/6/2018,7,s,143,6,23.00,6,3343,31,19724,3769,0,,1349,14.76,506.0090423,
7/6/2018,7,s,144,6,24.00,6,2840,32,18274,3769,0,,1110,14.76,510.2203621,
7/7/2018,7,s,145,7,1.00,7,2460,32,16371,3769,0,,1031,14.76,516.9714868,
7/7/2018,7,s,146,7,2.00,7,2341,31,14881,3769,0,,1009,14.76,530.6218365,
7/7/2018,7,s,147,7,3.00,7,2312,30,13662,3774,0,,1010,14.76,539.5710939,
7/7/2018,7,s,148,7,4.00,7,2296,30,12886,3774,0,,1023,14.76,544.4877242,
7/7/2018,7,s,149,7,5.00,7,2306,29,12311,3778,0,,1014,14.76,545.8663773,
7/7/2018,7,s,150,7,6.00,7,2307,32,12292,3777,0,,1042,47.232,547.733558,
7/7/2018,7,s,151,7,7.00,7,2400,32,12706,3779,0,,1058,48.708,544.6232509,
7/7/2018,7,s,152,7,8.00,7,2471,31,13569,3779,0,,1127,106.272,529.2200538,
7/7/2018,7,s,153,7,9.00,7,2656,32,16337,3773,0,,1231,336.528,516.9923927,
7/7/2018,7,s,154,7,10.00,7,3079,32,19088,3772,0,,1296,707.004,510.1952101,
7/7/2018,7,s,155,7,11.00,7,3557,32,21732,3776,0,,1475,1031.724,504.0825723,
7/7/2018,7,s,156,7,12.00,7,3986,31,23923,3770,0,,1537,1197.036,499.4728772,
7/7/2018,7,s,157,7,13.00,7,4173,34,25842,3773,0,,1564,1111.428,506.5536848,
7/7/2018,7,s,158,7,14.00,7,4364,33,26863,3766,0,,1571,1096.668,505.9392448,
7/7/2018,7,s,159,7,15.00,7,4308,33,27840,3756,0,,1559,953.496,505.3413991,
7/7/2018,7,s,160,7,16.00,7,4268,34,28094,3753,0,,1573,729.144,505.7782588,
7/7/2018,7,s,161,7,17.00,7,4254,34,27867,3756,0,,1568,472.32,503.037305,
7/7/2018,7,s,162,7,18.00,7,4200,39,27360,3751,0,,1576,423.612,505.7552901,
7/7/2018,7,s,163,7,19.00,7,4184,32,26385,3747,0,,1587,249.444,508.5760564,
7/7/2018,7,s,164,7,20.00,7,4056,32,24712,3745,0,,1582,76.752,504.1387045,
7/7/2018,7,s,165,7,21.00,7,3808,32,23657,3743,0,,1608,5.904,503.5101304,
7/7/2018,7,s,166,7,22.00,7,3686,33,22578,3748,0,,1535,0,507.3412808,
7/7/2018,7,s,167,7,23.00,7,3385,33,20812,3754,0,,1297,0,510.9536627,
7/7/2018,7,s,168,7,24.00,7,2997,33,19074,3760,0,,1021,0,515.7582273,
7/8/2018,7,s,169,8,1.00,1,2740,33,17265,3762,0,,911,0,519.0702405,
7/8/2018,7,s,170,8,2.00,1,2532,33,15925,3764,0,,685,0,529.7072443,
7/8/2018,7,s,171,8,3.00,1,2438,33,14662,3769,0,,682,0,540.321703,
7/8/2018,7,s,172,8,4.00,1,2429,33,13780,3765,0,,668,0,544.8900431,
7/8/2018,7,s,173,8,5.00,1,2430,33,13276,3769,0,,663,0,547.8951199,
7/8/2018,7,s,174,8,6.00,1,2436,26,13104,3767,0,,666,0,547.4279278,
7/8/2018,7,s,175,8,7.00,1,2434,34,13240,3768,0,,673,32.472,543.3638709,
7/8/2018,7,s,176,8,8.00,1,2386,34,13895,3763,0,,814,100.368,530.1556805,
7/8/2018,7,s,177,8,9.00,1,2634,35,16493,3762,0,,945,342.432,521.5626443,
7/8/2018,7,s,178,8,10.00,1,3021,34,19205,3762,0,,1083,699.624,515.2230933,
7/8/2018,7,s,179,8,11.00,1,3363,34,21854,3760,0,,1245,978.588,504.2308969,
7/8/2018,7,s,180,8,12.00,1,3674,35,24285,3757,0,,1413,1154.232,502.0606904,
7/8/2018,7,s,181,8,13.00,1,3936,34,26181,3760,0,,1574,1194.084,505.4350605,
7/8/2018,7,s,182,8,14.00,1,4227,35,27412,3756,0,,1618,1160.136,503.7817579,
7/8/2018,7,s,183,8,15.00,1,4375,34,28391,3758,0,,1624,1102.572,503.4421953,
7/8/2018,7,s,184,8,16.00,1,4533,35,29205,3752,20,,1631,1016.964,506.7057588,
7/8/2018,7,s,185,8,17.00,1,4591,35,29582,3748,90,,1639,791.136,507.7607099,
7/8/2018,7,s,186,8,18.00,1,4538,40,29431,3744,90,,1646,640.584,507.9944859,
7/8/2018,7,s,187,8,19.00,1,4490,31,28629,3743,132,,1643,389.664,504.8840356,
7/8/2018,7,s,188,8,20.00,1,4434,33,27308,3740,127,,1644,107.748,502.002761,
7/8/2018,7,s,189,8,21.00,1,4338,34,26184,3742,19,,1640,2.952,505.1973149,
7/8/2018,7,s,190,8,22.00,1,4307,35,25123,3740,0,,1565,0,512.0519036,
7/8/2018,7,s,191,8,23.00,1,4004,34,22543,3744,0,,1488,0,512.0600749,
7/8/2018,7,s,192,8,24.00,1,3518,34,20247,3747,0,,1201,0,517.716626,
7/9/2018,7,s,193,9,1.00,2,3039,34,18371,3750,0,,1152,0,524.7156176,
7/9/2018,7,s,194,9,2.00,2,2703,34,16815,3748,0,,1082,0,528.2786582,
7/9/2018,7,s,195,9,3.00,2,2584,35,15609,3757,0,,1064,0,529.9908791,
7/9/2018,7,s,196,9,4.00,2,2562,34,14736,3751,0,,1056,0,530.5293556,
7/9/2018,7,s,197,9,5.00,2,2572,34,14484,3755,0,,1074,0,519.7898692,
7/9/2018,7,s,198,9,6.00,2,2458,34,15529,3754,0,,1110,0,517.1643666,
7/9/2018,7,s,199,9,7.00,2,2593,35,16505,3757,0,,1138,0,509.4885803,
7/9/2018,7,s,200,9,8.00,2,2822,34,17328,3750,0,,1196,64.944,502.3108863,
7/9/2018,7,s,201,9,9.00,2,3022,34,19210,3751,0,,1305,307.008,494.2908029,
7/9/2018,7,s,202,9,10.00,2,3374,35,21130,3754,0,,1478,614.016,488.6358089,
7/9/2018,7,s,203,9,11.00,2,3565,35,23532,3750,0,,1550,867.888,488.9010468,
7/9/2018,7,s,204,9,12.00,2,3834,34,26033,3756,0,,1615,1033.2,491.3854262,
7/9/2018,7,s,205,9,13.00,2,4242,35,27576,3741,0,,1626,1087.812,494.436407,
7/9/2018,7,s,206,9,14.00,2,4483,35,28426,3748,0,,1619,1058.292,497.414322,
7/9/2018,7,s,207,9,15.00,2,4557,35,29665,3748,0,,1591,1058.292,498.3280644,
7/9/2018,7,s,208,9,16.00,2,4629,35,29628,3745,0,,1547,1064.196,498.126629,
7/9/2018,7,s,209,9,17.00,2,4683,35,29768,3735,0,,1572,980.064,495.9909564,
7/9/2018,7,s,210,9,18.00,2,4743,39,28498,3743,0,,1604,1022.868,493.9330093,
7/9/2018,7,s,211,9,19.00,2,4649,35,28843,3740,0,,1572,377.856,492.1903948,
7/9/2018,7,s,212,9,20.00,2,4397,35,27974,3739,0,,1590,153.504,490.4356172,
7/9/2018,7,s,213,9,21.00,2,4274,35,26311,3741,0,,1586,4.428,492.5453962,
7/9/2018,7,s,214,9,22.00,2,4172,35,25457,3738,0,,1527,0,491.0809157,
7/9/2018,7,s,215,9,23.00,2,3861,34,22877,3744,0,,1424,0,494.4152475,
7/9/2018,7,s,216,9,24.00,2,3307,36,20976,3743,0,,1173,0,492.4086274,
7/10/2018,7,s,217,10,1.00,3,2821,34,18809,3745,0,,1040,0,497.435701,
7/10/2018,7,s,218,10,2.00,3,2542,35,17270,3737,0,,1011,0,504.1593101,
7/10/2018,7,s,219,10,3.00,3,2477,35,15910,3740,0,,982,0,513.4646428,
7/10/2018,7,s,220,10,4.00,3,2439,35,15170,3743,0,,984,0,519.0335339,
7/10/2018,7,s,221,10,5.00,3,2452,35,14571,3749,0,,1065,0,518.3588469,
7/10/2018,7,s,222,10,6.00,3,2591,35,15198,3752,0,,1145,32.472,512.8899783,
7/10/2018,7,s,223,10,7.00,3,2763,35,16464,3754,0,,1167,32.472,513.9718925,
7/10/2018,7,s,224,10,8.00,3,3011,35,17315,3757,0,,1183,75.276,507.7118167,
7/10/2018,7,s,225,10,9.00,3,3222,35,18921,3754,0,,1412,286.344,505.0108111,
7/10/2018,7,s,226,10,10.00,3,3540,35,21254,3751,0,,1516,618.444,507.8856729,
7/10/2018,7,s,227,10,11.00,3,4061,35,23331,3745,0,,1533,912.168,505.2788874,
7/10/2018,7,s,228,10,12.00,3,4546,34,25485,3750,0,,1556,1137.996,502.9716696,
7/10/2018,7,s,229,10,13.00,3,4770,34,27209,3742,0,,1487,1228.032,502.5491,
7/10/2018,7,s,230,10,14.00,3,4869,33,28337,3744,2,,1389,1192.608,503.8359214,
7/10/2018,7,s,231,10,15.00,3,4961,33,28974,3743,130,,1387,1194.084,499.0440502,
7/10/2018,7,s,232,10,16.00,3,4936,34,28772,3733,388,,1393,1189.656,498.4078702,
7/10/2018,7,s,233,10,17.00,3,4908,33,28851,3742,569,,1385,969.732,497.823772,
7/10/2018,7,s,234,10,18.00,3,4867,39,29051,3740,463,,1392,786.708,497.0380357,
7/10/2018,7,s,235,10,19.00,3,4846,31,28329,3734,151,,1591,473.796,504.7505931,
7/10/2018,7,s,236,10,20.00,3,4771,33,26734,3742,38,,1701,137.268,505.7045483,
7/10/2018,7,s,237,10,21.00,3,4635,33,25654,3744,0,,1705,33.948,503.5480097,
7/10/2018,7,s,238,10,22.00,3,4457,34,24491,3741,0,,1693,0,502.2706157,
7/10/2018,7,s,239,10,23.00,3,4172,33,22550,3746,0,,1460,0,498.4194295,
7/10/2018,7,s,240,10,24.00,3,3673,34,20218,3743,0,,1157,0,505.0895249,
7/11/2018,7,s,241,11,1.00,4,3194,33,17979,3743,0,,1173,0,509.3446034,
7/11/2018,7,s,242,11,2.00,4,2671,34,16647,3747,0,,1086,0,514.6771705,
7/11/2018,7,s,243,11,3.00,4,2486,34,15507,3742,0,,1037,0,519.5374278,
7/11/2018,7,s,244,11,4.00,4,2417,33,14859,3751,0,,1027,0,522.6233619,
7/11/2018,7,s,245,11,5.00,4,2407,33,14670,3753,0,,1047,0,521.1576085,
7/11/2018,7,s,246,11,6.00,4,2471,34,15227,3756,0,,1100,0,518.483431,
7/11/2018,7,s,247,11,7.00,4,2779,33,16237,3750,0,,1168,0,516.5165827,
7/11/2018,7,s,248,11,8.00,4,3141,33,17184,3753,0,,1186,54.612,509.6030844,
7/11/2018,7,s,249,11,9.00,4,3314,33,19241,3758,0,,1439,314.388,509.5583549,
7/11/2018,7,s,250,11,10.00,4,3808,33,21105,3753,0,,1497,712.908,510.2569249,
7/11/2018,7,s,251,11,11.00,4,4154,33,23691,3750,0,,1527,1031.724,505.2634053,
7/11/2018,7,s,252,11,12.00,4,4455,33,25854,3753,0,,1561,1230.984,498.8122735,
7/11/2018,7,s,253,11,13.00,4,4680,34,27675,3754,0,,1447,1291.5,497.8570763,
7/11/2018,7,s,254,11,14.00,4,4984,33,28799,3746,2,,1407,1253.124,501.3767628,
7/11/2018,7,s,255,11,15.00,4,4754,33,29551,3741,45,,1458,1154.232,496.8574238,
7/11/2018,7,s,256,11,16.00,4,4520,32,29467,3740,265,,1635,968.256,496.959386,
7/11/2018,7,s,257,11,17.00,4,4426,34,28786,3739,296,,1682,799.992,497.9106696,
7/11/2018,7,s,258,11,18.00,4,4387,40,28358,3742,278,,1683,605.16,501.946737,
7/11/2018,7,s,259,11,19.00,4,4338,34,27638,3734,219,,1644,281.916,502.0539859,
7/11/2018,7,s,260,11,20.00,4,4164,34,26373,3735,106,,1685,112.176,500.0597666,
7/11/2018,7,s,261,11,21.00,4,4325,34,25525,3734,0,,1669,35.424,505.2760668,
7/11/2018,7,s,262,11,22.00,4,4304,34,24066,3742,0,,1548,0,501.658292,
7/11/2018,7,s,263,11,23.00,4,4181,33,22230,3746,0,,1442,0,505.7238371,
7/11/2018,7,s,264,11,24.00,4,3862,35,19972,3743,0,,1287,0,506.6226402,
7/12/2018,7,s,265,12,1.00,5,3220,34,17719,3748,0,,1174,0,516.5437797,
7/12/2018,7,s,266,12,2.00,5,2887,34,16154,3752,0,,1092,0,524.4694469,
7/12/2018,7,s,267,12,3.00,5,2683,34,15010,3755,0,,1034,0,530.885299,
7/12/2018,7,s,268,12,4.00,5,2602,34,14395,3754,0,,997,0,533.8066553,
7/12/2018,7,s,269,12,5.00,5,2553,34,14095,3754,0,,1014,0,528.612183,
7/12/2018,7,s,270,12,6.00,5,2552,33,14600,3765,0,,1058,0,517.8953725,
7/12/2018,7,s,271,12,7.00,5,2730,34,15800,3761,0,,1108,0,515.984325,
7/12/2018,7,s,272,12,8.00,5,2976,34,16805,3768,0,,1191,70.848,514.2044391,
7/12/2018,7,s,273,12,9.00,5,3369,34,18338,3764,31,,1427,354.24,514.6950332,
7/12/2018,7,s,274,12,10.00,5,3905,34,20278,3764,7,,1478,733.572,509.7017126,
7/12/2018,7,s,275,12,11.00,5,4331,33,22927,3763,14,,1517,953.496,508.0426308,
7/12/2018,7,s,276,12,12.00,5,4654,32,25526,3766,0,,1545,931.356,508.1566771,
7/12/2018,7,s,277,12,13.00,5,4898,33,27423,3758,0,,1563,1104.048,504.6158567,
7/12/2018,7,s,278,12,14.00,5,5019,33,28604,3761,0,,1632,1109.952,503.6955169,
7/12/2018,7,s,279,12,15.00,5,4963,32,29600,3760,0,,1660,1011.06,503.2723954,
7/12/2018,7,s,280,12,16.00,5,4958,33,29916,3750,0,,1724,856.08,502.1230291,
7/12/2018,7,s,281,12,17.00,5,4774,33,29635,3753,0,,1677,755.712,503.1180652,
7/12/2018,7,s,282,12,18.00,5,4769,39,29326,3749,0,,1648,652.392,501.1366116,
7/12/2018,7,s,283,12,19.00,5,4702,33,28371,3748,0,,1502,399.996,499.3468259,
7/12/2018,7,s,284,12,20.00,5,4488,33,26657,3748,0,,1571,118.08,507.9678003,
7/12/2018,7,s,285,12,21.00,5,4374,33,25581,3748,0,,1591,5.904,511.5100454,
7/12/2018,7,s,286,12,22.00,5,4330,33,24283,3751,0,,1464,2.952,514.1599057,
7/12/2018,7,s,287,12,23.00,5,4076,33,21926,3753,0,,1421,1.476,515.8458355,
7/12/2018,7,s,288,12,24.00,5,3719,33,19829,3759,0,,1259,2.952,518.4497551,
