Feedstock Source,Production Type,Plant Type,Hydrogen Phase,Co-produce Steam,Basis of H2 Production Assumptions,activity,flow_source,flows,flow_breakdown,value,unit,direction,type,Source,comment,data location
Coal,From Coal,Central Plants,Gas,No,H2A Model by NREL,Coal Gasification,total,co,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,No,H2A Model by NREL,Coal Gasification: Non-Combustion Emissions,total,co,,4.80E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,No,H2A Model by NREL,G.H2 Compression and Precooling,total,co,,4.62E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,Yes,Industry data,Coal Gasification,total,co,,2.21E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,Yes,Industry data,Coal Gasification: Non-Combustion Emissions,total,co,,4.80E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,Yes,Industry data,Production of Displaced Steam,total,co,,-1.75E-05,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,Yes,Industry data,G.H2 Compression and Precooling,total,co,,4.62E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Coal,From Coal,Central Plants,Gas,No,Industry data,Coal Gasification,electricity,co2,,0.000463878,kg/MJ,output,mass,GREET,,Hydrogen tab Row 218 and Electric tab B220 and C220
Coal,From Coal,Central Plants,Gas,No,Industry data,G.H2 Compression and Precooling,electricity,co2,,0.012890043,kg/MJ,output,mass,GREET,,Hydrogen tab Row 218 and Electric tab B220 and C220
Coal,From Coal,Central Plants,Gas,No,H2A Model by NREL,G.H2 Compression and Precooling,electricity,co2,,0.012890043,kg/MJ,output,mass,GREET,,Hydrogen tab Row 218 and Electric tab B220 and C220
Coal,From Coal,Central Plants,Gas,Yes,Industry data,Coal Gasification,electricity,co2,,0.000616747,kg/MJ,output,mass,GREET,,Hydrogen tab Row 218 and Electric tab B220 and C220
Coal,From Coal,Central Plants,Gas,Yes,Industry data,G.H2 Compression and Precooling,electricity,co2,,0.012890043,kg/MJ,output,mass,GREET,,Hydrogen tab Row 218 and Electric tab B220 and C220
